,0
294,463
295,176
296,642
297,744
298,196
299,483
300,54
301,54
302,54
303,611
304,524
305,749
306,395
307,395
308,2
309,660
310,351
311,351
312,351
313,543
314,292
315,629
316,463
317,573
318,573
319,86
320,558
321,651
322,194
323,558
324,351
325,68
326,54
327,229
328,611
329,749
330,543
331,543
332,596
333,146
334,495
335,355
336,330
337,54
338,558
339,543
340,573
341,543
342,543
343,543
344,544
345,375
346,44
347,113
348,113
349,142
350,746
351,660
352,758
353,399
354,558
355,558
356,617
357,118
358,241
359,241
360,642
361,54
362,241
363,642
364,164
365,558
366,617
367,340
368,399
369,100
370,611
371,558
372,438
373,438
374,438
375,438
376,642
377,292
378,292
379,292
380,651
381,760
382,115
383,115
384,115
385,115
386,115
387,734
388,713
389,503
390,176
391,259
392,101
393,213
394,351
395,351
396,110
397,558
398,69
399,38
400,115
401,603
402,711
403,559
404,355
405,207
406,241
407,558
408,565
409,178
410,177
411,726
412,242
413,41
414,718
415,718
416,543
417,158
418,766
419,142
420,158
421,483
422,485
423,81
424,81
425,340
426,81
427,483
428,558
429,205
430,558
431,558
432,649
433,10
434,52
435,112
436,10
437,115
438,115
439,115
440,465
441,642
442,603
443,603
444,558
445,558
446,100
447,142
448,8
449,399
450,474
451,799
452,215
453,543
454,95
455,95
456,95
457,95
458,95
459,95
460,110
461,558
462,115
463,115
464,115
465,115
466,115
467,115
468,115
469,115
470,463
471,241
472,241
473,118
474,262
475,301
476,703
477,694
478,442
479,442
480,194
481,558
482,242
483,769
484,667
485,667
486,575
487,797
488,667
489,148
490,635
491,797
492,543
493,543
494,242
495,242
496,351
497,115
498,113
499,543
500,313
501,215
502,215
503,764
504,398
505,558
506,558
507,617
508,642
509,241
510,617
511,241
512,351
513,351
514,278
515,277
516,277
517,277
518,667
519,608
520,277
521,277
522,744
523,255
524,573
525,243
526,277
527,494
528,277
529,277
530,637
531,494
532,494
533,744
534,277
535,744
536,339
537,277
538,744
539,277
540,744
541,101
542,494
543,608
544,438
545,293
546,608
547,397
548,438
549,303
550,524
551,277
552,303
553,277
554,476
555,277
556,368
557,694
558,608
559,92
560,368
561,398
562,351
563,277
564,608
565,759
566,756
567,724
568,44
569,529
570,351
571,703
572,355
573,44
574,44
575,277
576,383
577,383
578,498
579,498
580,242
581,479
582,581
583,561
584,270
585,527
586,561
587,270
588,654
589,170
590,527
591,527
592,527
593,297
594,654
595,581
596,654
597,297
598,297
599,297
600,686
601,292
602,53
603,53
604,241
605,241
606,241
607,118
608,527
609,527
610,543
611,241
612,110
613,703
614,82
615,257
616,85
617,389
618,558
619,8
620,113
621,251
622,48
623,292
624,463
625,383
626,599
627,215
628,194
629,540
630,8
631,277
632,140
633,277
634,474
635,474
636,257
637,694
638,140
639,547
640,114
641,188
642,694
643,573
644,213
645,744
646,615
647,694
648,637
649,637
650,111
651,744
652,694
653,694
654,637
655,694
656,277
657,313
658,541
659,744
660,188
661,759
662,694
663,694
664,541
665,694
666,10
667,524
668,89
669,703
670,694
671,140
672,301
673,575
674,10
675,395
676,303
677,759
678,494
679,87
680,744
681,576
682,579
683,694
684,694
685,694
686,756
687,351
688,796
689,657
690,703
691,442
692,637
693,251
694,565
695,215
696,558
697,558
698,54
699,611
700,113
701,383
702,726
703,241
704,241
705,118
706,241
707,241
708,492
709,103
710,498
711,749
712,142
713,760
714,760
715,82
716,495
717,351
718,351
719,442
720,351
721,483
722,726
723,726
724,792
725,190
726,703
727,190
728,342
729,342
730,342
731,616
732,543
733,285
734,558
735,543
736,399
737,215
738,558
739,188
740,463
741,206
742,674
743,87
744,110
745,540
746,540
747,69
748,45
749,118
750,241
751,674
752,175
753,660
754,542
755,543
756,398
757,651
758,215
759,611
760,580
761,483
762,259
763,259
764,259
765,259
766,257
767,558
768,558
769,558
770,463
771,749
772,215
773,543
774,543
775,54
776,216
777,215
778,215
779,86
780,342
781,249
782,660
783,8
784,399
785,611
786,100
787,142
788,558
789,558
790,558
791,558
792,524
793,792
794,158
795,766
796,83
797,215
798,194
799,194
800,258
801,483
802,194
803,194
804,660
805,1
806,558
807,558
808,216
809,708
810,351
811,758
812,83
813,444
814,526
815,616
816,175
817,660
818,88
819,113
820,87
821,611
822,118
823,617
824,438
825,792
826,789
827,110
828,675
829,674
830,183
831,558
832,533
833,486
834,241
835,241
836,241
837,241
838,241
839,241
840,241
841,241
842,241
843,449
844,449
845,241
846,241
847,241
848,642
849,241
850,241
851,241
852,241
853,241
854,241
855,295
856,241
857,241
858,241
859,241
860,241
861,385
862,194
863,115
864,216
865,558
866,558
867,252
868,215
869,355
870,242
871,398
872,558
873,558
874,558
875,176
876,175
877,674
878,792
879,6
880,540
881,540
882,674
883,498
884,498
885,168
886,474
887,194
888,81
889,80
890,81
891,21
892,215
893,646
894,215
895,351
896,351
897,87
898,444
899,580
900,635
901,635
902,628
903,498
904,476
905,351
906,242
907,558
908,87
909,479
910,463
911,463
912,726
913,157
914,303
915,88
916,241
917,234
918,146
919,87
920,703
921,241
922,292
923,654
924,270
925,446
926,446
927,446
928,674
929,483
930,558
931,215
932,463
933,442
934,749
935,674
936,543
937,543
938,543
939,558
940,252
941,498
942,617
943,543
944,543
945,342
946,463
947,557
948,479
949,476
950,216
951,361
952,675
953,558
954,389
955,213
956,351
957,558
958,340
959,558
960,558
961,558
962,558
963,351
964,355
965,242
966,396
967,463
968,543
969,731
970,442
971,558
972,558
973,242
974,194
975,241
976,242
977,750
978,142
979,158
980,351
981,390
982,674
983,589
984,594
985,287
986,790
987,355
988,351
989,351
990,563
991,721
992,241
993,241
994,241
995,241
996,792
997,87
998,463
999,351
1000,355
1001,670
1002,543
1003,145
1004,706
1005,706
1006,674
1007,707
1008,708
1009,760
1010,674
1011,722
1012,113
1013,113
1014,694
1015,677
1016,677
1017,589
1018,677
1019,635
1020,590
1021,756
1022,197
1023,667
1024,667
1025,6
1026,183
1027,667
1028,101
1029,10
1030,657
1031,215
1032,364
1033,113
1034,106
1035,6
1036,215
1037,153
1038,694
1039,351
1040,351
1041,495
1042,176
1043,287
1044,798
1045,625
1046,485
1047,713
1048,446
1049,179
1050,740
1051,606
1052,215
1053,740
1054,594
1055,87
1056,186
1057,277
1058,277
1059,95
1060,726
1061,715
1062,495
1063,483
1064,483
1065,483
1066,1
1067,106
1068,175
1069,667
1070,667
1071,257
1072,194
1073,483
1074,332
1075,543
1076,194
1077,674
1078,616
1079,495
1080,389
1081,558
1082,766
1083,142
1084,790
1085,242
1086,259
1087,111
1088,483
1089,113
1090,543
1091,483
1092,276
1093,635
1094,215
1095,6
1096,749
1097,234
1098,558
1099,543
1100,66
1101,241
1102,241
1103,758
1104,758
1105,558
1106,543
1107,543
1108,241
1109,44
1110,543
1111,790
1112,181
1113,749
1114,580
1115,703
1116,674
1117,292
1118,111
1119,217
1120,194
1121,692
1122,708
1123,101
1124,615
1125,301
1126,615
1127,301
1128,368
1129,389
1130,194
1131,580
1132,474
1133,330
1134,479
1135,175
1136,476
1137,216
1138,215
1139,68
1140,68
1141,692
1142,760
1143,357
1144,490
1145,490
1146,113
1147,476
1148,463
1149,463
1150,463
1151,694
1152,667
1153,694
1154,692
1155,694
1156,694
1157,694
1158,667
1159,183
1160,667
1161,589
1162,110
1163,670
1164,674
1165,558
1166,25
1167,128
1168,259
1169,558
1170,758
1171,558
1172,558
1173,543
1174,483
1175,110
1176,115
1177,474
1178,558
1179,558
1180,105
1181,706
1182,181
1183,463
1184,703
1185,463
1186,452
1187,734
1188,713
1189,769
1190,99
1191,110
1192,110
1193,101
1194,389
1195,495
1196,106
1197,215
1198,215
1199,54
1200,558
1201,342
1202,342
1203,398
1204,383
1205,558
1206,558
1207,505
1208,543
1209,593
1210,543
1211,543
1212,215
1213,368
1214,215
1215,398
1216,483
1217,485
1218,215
1219,498
1220,224
1221,351
1222,355
1223,351
1224,351
1225,464
1226,463
1227,694
1228,743
1229,106
1230,708
1231,203
1232,674
1233,722
1234,726
1235,463
1236,541
1237,540
1238,565
1239,718
1240,552
1241,602
1242,552
1243,718
1244,463
1245,708
1246,708
1247,485
1248,694
1249,674
1250,708
1251,351
1252,570
1253,564
1254,558
1255,551
1256,551
1257,252
1258,611
1259,179
1260,674
1261,758
1262,215
1263,342
1264,342
1265,242
1266,179
1267,558
1268,242
1269,483
1270,351
1271,113
1272,351
1273,69
1274,257
1275,168
1276,627
1277,627
1278,115
1279,115
1280,115
1281,115
1282,39
1283,115
1284,54
1285,558
1286,26
1287,344
1288,344
1289,10
1290,474
1291,277
1292,277
1293,277
1294,667
1295,277
1296,277
1297,277
1298,188
1299,744
1300,744
1301,497
1302,278
1303,497
1304,744
1305,277
1306,744
1307,744
1308,438
1309,438
1310,188
1311,573
1312,277
1313,277
1314,636
1315,744
1316,636
1317,277
1318,257
1319,88
1320,101
1321,759
1322,225
1323,277
1324,277
1325,494
1326,573
1327,101
1328,277
1329,277
1330,744
1331,257
1332,637
1333,197
1334,188
1335,225
1336,277
1337,744
1338,302
1339,303
1340,188
1341,225
1342,614
1343,614
1344,546
1345,744
1346,744
1347,438
1348,259
1349,257
1350,257
1351,498
1352,103
1353,395
1354,395
1355,749
1356,188
1357,190
1358,257
1359,257
1360,257
1361,213
1362,750
1363,196
1364,495
1365,558
1366,558
1367,188
1368,694
1369,694
1370,694
1371,616
1372,110
1373,1
1374,351
1375,194
1376,194
1377,194
1378,194
1379,474
1380,660
1381,194
1382,483
1383,483
1384,543
1385,684
1386,684
1387,684
1388,589
1389,667
1390,589
1391,589
1392,684
1393,684
1394,684
1395,684
1396,278
1397,25
1398,684
1399,667
1400,278
1401,278
1402,589
1403,197
1404,197
1405,589
1406,197
1407,197
1408,197
1409,197
1410,6
1411,197
1412,197
1413,6
1414,684
1415,197
1416,589
1417,589
1418,197
1419,684
1420,684
1421,684
1422,197
1423,684
1424,197
1425,6
1426,573
1427,197
1428,241
1429,6
1430,637
1431,243
1432,230
1433,463
1434,194
1435,494
1436,498
1437,194
1438,252
1439,113
1440,565
1441,5
1442,565
1443,476
1444,611
1445,749
1446,749
1447,744
1448,242
1449,242
1450,706
1451,479
1452,558
1453,215
1454,543
1455,340
1456,674
1457,395
1458,11
1459,177
1460,594
1461,706
1462,706
1463,288
1464,543
1465,83
1466,708
1467,708
1468,611
1469,112
1470,115
1471,111
1472,463
1473,175
1474,558
1475,54
1476,54
1477,194
1478,215
1479,558
1480,708
1481,476
1482,578
1483,474
1484,744
1485,196
1486,398
1487,398
1488,398
1489,395
1490,749
1491,749
1492,368
1493,749
1494,483
1495,576
1496,10
1497,268
1498,131
1499,278
1500,96
1501,6
1502,188
1503,44
1504,355
1505,540
1506,353
1507,87
1508,495
1509,190
1510,694
1511,694
1512,575
1513,694
1514,395
1515,694
1516,756
1517,694
1518,694
1519,694
1520,694
1521,694
1522,744
1523,111
1524,637
1525,190
1526,549
1527,8
1528,638
1529,101
1530,301
1531,638
1532,576
1533,140
1534,140
1535,395
1536,356
1537,140
1538,395
1539,770
1540,770
1541,395
1542,89
1543,694
1544,575
1545,726
1546,196
1547,580
1548,631
1549,44
1550,368
1551,97
1552,312
1553,194
1554,726
1555,580
1556,749
1557,703
1558,703
1559,611
1560,703
1561,580
1562,703
1563,580
1564,196
1565,175
1566,475
1567,175
1568,175
1569,474
1570,97
1571,194
1572,194
1573,540
1574,194
1575,611
1576,474
1577,194
1578,288
1579,196
1580,694
1581,694
1582,694
1583,694
1584,749
1585,694
1586,756
1587,493
1588,474
1589,102
1590,10
1591,674
1592,257
1593,463
1594,396
1595,396
1596,398
1597,398
1598,800
1599,800
1600,475
1601,558
1602,463
1603,463
1604,463
1605,558
1606,558
1607,54
1608,398
1609,110
1610,706
1611,703
1612,54
1613,54
1614,140
1615,54
1616,44
1617,175
1618,616
1619,6
1620,708
1621,558
1622,687
1623,722
1624,368
1625,398
1626,398
1627,483
1628,790
1629,396
1630,483
1631,483
1632,792
1633,756
1634,385
1635,740
1636,344
1637,707
1638,563
1639,176
1640,561
1641,654
1642,561
1643,654
1644,87
1645,635
1646,351
1647,707
1648,589
1649,589
1650,596
1651,734
1652,1
1653,1
1654,135
1655,646
1656,140
1657,176
1658,749
1659,393
1660,608
1661,11
1662,196
1663,112
1664,694
1665,91
1666,608
1667,726
1668,355
1669,268
1670,637
1671,637
1672,494
1673,188
1674,225
1675,744
1676,521
1677,608
1678,546
1679,514
1680,197
1681,58
1682,495
1683,277
1684,756
1685,694
1686,474
1687,613
1688,252
1689,495
1690,390
1691,524
1692,474
1693,39
1694,616
1695,175
1696,190
1697,115
1698,115
1699,524
1700,790
1701,631
1702,637
1703,580
1704,495
1705,463
1706,463
1707,463
1708,463
1709,611
1710,386
1711,674
1712,398
1713,194
1714,203
1715,694
1716,756
1717,756
1718,463
1719,390
1720,483
1721,483
1722,611
1723,157
1724,105
1725,734
1726,10
1727,674
1728,624
1729,675
1730,241
1731,241
1732,241
1733,241
1734,241
1735,241
1736,241
1737,251
1738,465
1739,146
1740,186
1741,115
1742,561
1743,561
1744,654
1745,561
1746,115
1747,8
1748,746
1749,746
1750,667
1751,389
1752,241
1753,241
1754,241
1755,446
1756,10
1757,10
1758,617
1759,617
1760,617
1761,617
1762,241
1763,707
1764,446
1765,53
1766,675
1767,675
1768,68
1769,351
1770,734
1771,83
1772,646
1773,255
1774,179
1775,740
1776,596
1777,241
1778,241
1779,442
1780,611
1781,389
1782,87
1783,448
1784,708
1785,344
1786,277
1787,611
1788,749
1789,157
1790,483
1791,558
1792,589
1793,194
1794,395
1795,694
1796,176
1797,558
1798,749
1799,330
1800,646
1801,355
1802,83
1803,498
1804,558
1805,87
1806,733
1807,674
1808,495
1809,53
1810,351
1811,692
1812,687
1813,543
1814,215
1815,285
1816,5
1817,44
1818,524
1819,87
1820,277
1821,616
1822,616
1823,142
1824,351
1825,351
1826,54
1827,54
1828,251
1829,251
1830,197
1831,291
1832,197
1833,613
1834,684
1835,589
1836,543
1837,242
1838,558
1839,110
1840,44
1841,164
1842,543
1843,482
1844,247
1845,243
1846,691
1847,182
1848,197
1849,243
1850,764
1851,101
1852,486
1853,486
1854,692
1855,624
1856,153
1857,68
1858,677
1859,590
1860,81
1861,197
1862,81
1863,81
1864,306
1865,80
1866,80
1867,182
1868,551
1869,113
1870,44
1871,757
1872,757
1873,757
1874,113
1875,351
1876,351
1877,351
1878,667
1879,183
1880,761
1881,349
1882,490
1883,44
1884,551
1885,183
1886,287
1887,83
1888,574
1889,635
1890,731
1891,176
1892,344
1893,10
1894,675
1895,10
1896,657
1897,564
1898,242
1899,670
1900,670
1901,242
1902,242
1903,194
1904,190
1905,694
1906,36
1907,396
1908,703
1909,624
1910,624
1911,281
1912,110
1913,670
1914,670
1915,390
1916,463
1917,483
1918,617
1919,790
1920,351
1921,558
1922,444
1923,298
1924,463
1925,558
1926,558
1927,291
1928,197
1929,142
1930,790
1931,541
1932,476
1933,476
1934,286
1935,800
1936,691
1937,543
1938,543
1939,543
1940,717
1941,543
1942,589
1943,183
1944,182
1945,291
1946,684
1947,684
1948,183
1949,613
1950,194
1951,703
1952,389
1953,344
1954,277
1955,558
1956,500
1957,360
1958,703
1959,54
1960,558
1961,674
1962,396
1963,687
1964,589
1965,351
1966,476
1967,646
1968,385
1969,543
1970,703
1971,498
1972,474
1973,110
1974,284
1975,744
1976,703
1977,87
1978,175
1979,108
1980,59
1981,385
1982,395
1983,171
1984,708
1985,355
1986,194
1987,439
1988,389
1989,368
1990,175
1991,194
1992,474
1993,194
1994,744
1995,446
1996,543
1997,543
1998,39
1999,399
2000,216
2001,111
2002,739
2003,287
2004,287
2005,87
2006,384
2007,395
2008,398
2009,6
2010,6
2011,385
2012,351
2013,613
2014,241
2015,446
2016,446
2017,115
2018,113
2019,97
2020,97
2021,176
2022,176
2023,115
2024,446
2025,53
2026,53
2027,692
2028,452
2029,87
2030,642
2031,176
2032,558
2033,145
2034,351
2035,351
2036,642
2037,779
2038,299
2039,10
2040,5
2041,642
2042,444
2043,558
2044,684
2045,6
2046,140
2047,684
2048,197
2049,526
2050,131
2051,756
2052,262
2053,474
2054,364
2055,599
2056,491
2057,215
2058,543
2059,490
2060,580
2061,692
2062,543
2063,241
2064,241
2065,241
2066,113
2067,628
2068,176
2069,603
2070,113
2071,111
2072,580
2073,749
2074,157
2075,483
2076,616
2077,46
2078,191
2079,564
2080,446
2081,115
2082,87
2083,744
2084,573
2085,142
2086,746
2087,102
2088,611
2089,792
2090,442
2091,463
2092,69
2093,111
2094,252
2095,281
2096,385
2097,257
2098,241
2099,449
2100,616
2101,483
2102,654
2103,225
2104,54
2105,241
2106,483
2107,442
2108,611
2109,524
2110,654
2111,353
2112,679
2113,646
2114,215
2115,175
2116,759
2117,749
2118,83
2119,494
2120,614
2121,614
2122,438
2123,526
2124,498
2125,197
2126,113
2127,596
2128,6
2129,101
2130,611
2131,749
2132,725
2133,157
2134,749
2135,257
2136,792
2137,474
2138,110
2139,110
2140,110
2141,110
2142,543
2143,251
2144,558
2145,558
2146,558
2147,558
2148,558
2149,395
2150,765
2151,110
2152,229
2153,760
2154,58
2155,348
2156,189
2157,611
2158,8
2159,110
2160,110
2161,616
2162,110
2163,110
2164,792
2165,792
2166,792
2167,521
2168,395
2169,277
2170,355
2171,355
2172,355
2173,241
2174,495
2175,694
2176,197
2177,703
2178,386
2179,495
2180,277
2181,474
2182,551
2183,221
2184,384
2185,106
2186,385
2187,176
2188,226
2189,131
2190,800
2191,355
2192,385
2193,482
2194,448
2195,608
2196,234
2197,558
2198,792
2199,524
2200,792
2201,463
2202,464
2203,492
2204,611
2205,558
2206,558
2207,558
2208,589
2209,87
2210,216
2211,215
2212,215
2213,216
2214,674
2215,674
2216,558
2217,558
2218,355
2219,355
2220,543
2221,259
2222,277
2223,558
2224,483
2225,8
2226,543
2227,543
2228,558
2229,223
2230,219
2231,220
2232,277
2233,558
2234,558
2235,558
2236,463
2237,215
2238,215
2239,146
2240,485
2241,594
2242,475
2243,247
2244,594
2245,539
2246,750
2247,104
2248,800
2249,558
2250,558
2251,558
2252,157
2253,558
2254,558
2255,558
2256,558
2257,182
2258,558
2259,196
2260,251
2261,257
2262,257
2263,176
2264,558
2265,558
2266,438
2267,8
2268,292
2269,110
2270,351
2271,157
2272,175
2273,476
2274,190
2275,288
2276,611
2277,616
2278,216
2279,694
2280,674
2281,580
2282,541
2283,701
2284,670
2285,594
2286,706
2287,463
2288,463
2289,351
2290,758
2291,215
2292,589
2293,347
2294,101
2295,91
2296,146
2297,351
2298,194
2299,351
2300,637
2301,182
2302,182
2303,95
2304,463
2305,463
2306,260
2307,355
2308,351
2309,351
2310,351
2311,589
2312,589
2313,183
2314,667
2315,667
2316,677
2317,677
2318,6
2319,113
2320,674
2321,646
2322,551
2323,399
2324,479
2325,543
2326,498
2327,674
2328,146
2329,176
2330,611
2331,703
2332,611
2333,590
2334,635
2335,197
2336,635
2337,691
2338,758
2339,485
2340,603
2341,351
2342,351
2343,364
2344,396
2345,749
2346,479
2347,190
2348,611
2349,541
2350,541
2351,541
2352,708
2353,756
2354,106
2355,286
2356,286
2357,41
2358,54
2359,54
2360,54
2361,495
2362,171
2363,596
2364,694
2365,108
2366,351
2367,351
2368,351
2369,351
2370,351
2371,351
2372,351
2373,351
2374,351
2375,10
2376,106
2377,113
2378,524
2379,111
2380,197
2381,543
2382,101
2383,101
2384,476
2385,695
2386,540
2387,101
2388,617
2389,576
2390,479
2391,197
2392,106
2393,258
2394,241
2395,364
2396,474
2397,503
2398,692
2399,667
2400,368
2401,635
2402,6
2403,351
2404,351
2405,675
2406,351
2407,351
2408,277
2409,684
2410,756
2411,220
2412,221
2413,87
2414,524
2415,331
2416,194
2417,385
2418,385
2419,106
2420,713
2421,713
2422,44
2423,215
2424,215
2425,216
2426,758
2427,474
2428,165
2429,113
2430,355
2431,646
2432,351
2433,389
2434,483
2435,608
2436,589
2437,589
2438,486
2439,355
2440,350
2441,708
2442,355
2443,25
2444,558
2445,312
2446,498
2447,474
2448,196
2449,483
2450,483
2451,490
2452,642
2453,498
2454,384
2455,490
2456,142
2457,734
2458,113
2459,113
2460,10
2461,642
2462,367
2463,353
2464,368
2465,398
2466,611
2467,589
2468,674
2469,303
2470,303
2471,483
2472,541
2473,611
2474,463
2475,463
2476,277
2477,593
2478,543
2479,156
2480,571
2481,10
2482,580
2483,580
2484,726
2485,140
2486,611
2487,703
2488,303
2489,603
2490,738
2491,140
2492,140
2493,217
2494,694
2495,171
2496,674
2497,215
2498,692
2499,749
2500,355
2501,482
2502,355
2503,241
2504,436
2505,482
2506,39
2507,241
2508,395
2509,351
2510,446
2511,674
2512,10
2513,474
2514,756
2515,243
2516,287
2517,252
2518,54
2519,721
2520,580
2521,140
2522,674
2523,390
2524,165
2525,111
2526,749
2527,446
2528,789
2529,558
2530,756
2531,288
2532,693
2533,693
2534,740
2535,83
2536,168
2537,741
2538,168
2539,603
2540,257
2541,463
2542,239
2543,114
2544,512
2545,112
2546,503
2547,6
2548,736
2549,503
2550,503
2551,119
2552,731
2553,119
2554,70
2555,731
2556,561
2557,654
2558,654
2559,654
2560,654
2561,654
2562,733
2563,654
2564,654
2565,654
2566,733
2567,119
2568,733
2569,733
2570,106
2571,502
2572,115
2573,115
2574,733
2575,35
2576,176
2577,119
2578,35
2579,734
2580,734
2581,54
2582,36
2583,113
2584,183
2585,115
2586,449
2587,10
2588,449
2589,449
2590,449
2591,449
2592,449
2593,449
2594,449
2595,240
2596,10
2597,10
2598,8
2599,176
2600,241
2601,11
2602,241
2603,241
2604,241
2605,241
2606,241
2607,241
2608,241
2609,241
2610,160
2611,160
2612,160
2613,446
2614,160
2615,527
2616,286
2617,298
2618,9
2619,512
2620,99
2621,115
2622,115
2623,38
2624,8
2625,38
2626,115
2627,38
2628,38
2629,38
2630,115
2631,39
2632,115
2633,39
2634,115
2635,241
2636,241
2637,118
2638,445
2639,115
2640,118
2641,115
2642,115
2643,38
2644,38
2645,115
2646,38
2647,115
2648,115
2649,38
2650,38
2651,39
2652,39
2653,307
2654,106
2655,113
2656,113
2657,113
2658,113
2659,111
2660,297
2661,501
2662,686
2663,11
2664,10
2665,10
2666,11
2667,71
2668,449
2669,659
2670,455
2671,659
2672,659
2673,455
2674,455
2675,115
2676,241
2677,654
2678,654
2679,654
2680,654
2681,561
2682,654
2683,561
2684,654
2685,654
2686,654
2687,654
2688,561
2689,654
2690,654
2691,115
2692,449
2693,115
2694,654
2695,654
2696,527
2697,654
2698,561
2699,561
2700,561
2701,561
2702,527
2703,654
2704,654
2705,654
2706,10
2707,694
2708,694
2709,351
2710,543
2711,543
2712,543
2713,215
2714,734
2715,713
2716,706
2717,99
2718,115
2719,667
2720,44
2721,344
2722,277
2723,213
2724,85
2725,770
2726,21
2727,25
2728,21
2729,21
2730,764
2731,574
2732,21
2733,6
2734,594
2735,594
2736,255
2737,241
2738,643
2739,176
2740,176
2741,119
2742,176
2743,176
2744,581
2745,581
2746,38
2747,119
2748,176
2749,299
2750,10
2751,446
2752,655
2753,71
2754,240
2755,240
2756,8
2757,114
2758,654
2759,38
2760,39
2761,115
2762,5
2763,115
2764,734
2765,228
2766,228
2767,228
2768,601
2769,753
2770,753
2771,753
2772,655
2773,115
2774,115
2775,38
2776,38
2777,38
2778,115
2779,115
2780,10
2781,351
2782,353
2783,113
2784,667
2785,131
2786,44
2787,44
2788,642
2789,554
2790,658
2791,553
2792,553
2793,292
2794,292
2795,157
2796,667
2797,168
2798,106
2799,297
2800,44
2801,684
2802,474
2803,790
2804,112
2805,753
2806,241
2807,44
2808,115
2809,558
2810,558
2811,558
2812,558
2813,558
2814,25
2815,677
2816,706
2817,351
2818,287
2819,706
2820,635
2821,344
2822,563
2823,259
2824,439
2825,713
2826,713
2827,713
2828,119
2829,654
2830,654
2831,654
2832,561
2833,561
2834,561
2835,564
2836,351
2837,683
2838,558
2839,742
2840,146
2841,194
2842,692
2843,311
2844,153
2845,692
2846,153
2847,692
2848,675
2849,677
2850,390
2851,558
2852,281
2853,87
2854,744
2855,281
2856,216
2857,707
2858,568
2859,54
2860,452
2861,151
2862,552
2863,286
2864,734
2865,749
2866,390
2867,115
2868,558
2869,194
2870,474
2871,571
2872,54
2873,6
2874,70
2875,736
2876,204
2877,112
2878,54
2879,10
2880,241
2881,112
2882,241
2883,241
2884,241
2885,241
2886,241
2887,241
2888,112
2889,241
2890,286
2891,115
2892,38
2893,115
2894,241
2895,297
2896,309
2897,674
2898,614
2899,790
2900,258
2901,390
2902,483
2903,385
2904,703
2905,564
2906,197
2907,684
2908,594
2909,498
2910,498
2911,54
2912,54
2913,54
2914,54
2915,54
2916,54
2917,215
2918,101
2919,495
2920,580
2921,213
2922,115
2923,241
2924,241
2925,746
2926,483
2927,744
2928,213
2929,800
2930,684
2931,73
2932,756
2933,753
2934,175
2935,749
2936,526
2937,385
2938,385
2939,385
2940,736
2941,234
2942,558
2943,113
2944,344
2945,220
2946,216
2947,288
2948,558
2949,721
2950,601
2951,53
2952,112
2953,53
2954,113
2955,38
2956,108
2957,792
2958,792
2959,111
2960,483
2961,449
2962,355
2963,344
2964,44
2965,44
2966,398
2967,483
2968,188
2969,558
2970,217
2971,194
2972,54
2973,112
2974,449
2975,446
2976,561
2977,186
2978,74
2979,568
2980,581
2981,115
2982,292
2983,292
2984,292
2985,292
2986,292
2987,292
2988,115
2989,753
2990,228
2991,674
2992,215
2993,118
2994,115
2995,344
2996,483
2997,483
