,0,1,2,3
50,11183,"[5653, 18042, 21137, 17277, 23847, 25109, 21837, 17163, 22786, 27380, 20789, 27737, 30164, 36402, 37166, 38647, 31746, 38915, 38366, 11151, 43757, 38284, 29817, 41717, 41899, 43279, 47539, 37850, 39789, 43817, 11208, 53361, 29247, 51483, 39940, 50917, 53618, 44055, 48997]",13418,0
51,158785,"[8719, 11172]",11707,1
52,91685,"[14968, 8297, 22914, 5998, 20253, 41425, 42664, 46745, 51179, 33481, 46814, 55135, 53124, 61559]",61908,1
53,82028,[61119],22907,0
54,188621,[26172],54529,0
55,69529,"[13830, 10377, 8193, 16072, 13543, 18741, 24205, 18281, 37272, 27784, 16658, 27884]",34463,1
56,45636,"[20842, 11756, 22110, 30562, 30697]",49113,0
57,25170,"[13646, 46782, 54138]",43698,0
58,31576,[36434],51537,0
59,21880,"[44121, 35325]",43399,1
60,44209,"[6438, 11107, 20073, 25026, 24434, 35533, 6318, 25028, 28352, 32359, 25734, 26280, 41466, 25192, 1909, 11753, 17770, 24301, 1728, 9693, 36444, 40256, 17961, 36780, 41093, 8788, 439, 46397, 46269, 50462, 40395, 437, 2582, 4455, 12361, 14325, 22294, 26153, 26607, 29205, 29878, 33491, 38795, 41585, 45480, 51567, 54245, 19796, 52446]",15142,0
61,108945,[1573],18294,1
62,170967,"[9837, 13438, 13690]",26044,0
63,142754,"[1708, 2675, 4935, 7401, 14413, 22177, 30319, 32217, 34342, 40235, 42963, 43949, 54816]",31992,0
64,76307,"[8025, 11769, 36188, 42006]",8209,0
65,36205,[30266],44167,0
66,162149,"[13000, 14769, 2940, 27638, 23158]",55050,0
67,132286,"[32557, 18668, 43441]",44217,1
68,112140,"[5665, 5964, 18874]",16747,0
69,101496,"[7014, 29912, 42468]",20800,0
70,184355,"[8320, 9743, 1735, 442, 5216, 11568]",32738,0
71,25095,"[533, 1447]",17843,1
72,38076,"[48390, 48191]",48864,1
73,114985,"[9312, 16166, 12754, 21433, 28142, 7486]",38629,1
74,119747,"[10401, 11665, 10739]",5989,0
75,177521,"[10408, 14363, 8807, 14947, 24701, 44676, 40914, 12241, 14906, 29247, 32347, 5834, 18291, 18313, 23375, 24075, 7020, 14307, 15891]",37949,1
76,28267,[50194],15572,0
77,18620,[24021],25850,1
78,26341,"[22185, 28726, 55777]",17,1
79,169042,"[31776, 34767, 28854, 34769, 38022, 38667, 32917, 9094, 40879, 41634, 42252, 19865, 47983, 38818, 40131, 40690, 18915, 48539, 49619, 18554, 24836]",25602,1
80,54342,"[10544, 15159, 23606, 33556, 46886, 55061, 2079, 27022, 40345, 43556, 3807, 28732]",51293,0
81,99685,"[19005, 41469, 42368, 5739, 30169, 32266, 54743, 56959, 26271]",5602,0
82,57398,"[7166, 16886, 21083, 7328, 25545]",32494,1
83,55039,[2306],30286,0
84,119370,"[57709, 55115]",25035,0
85,72163,"[16641, 35845]",36985,1
86,135753,"[31144, 4107]",50619,0
87,142504,"[36331, 9873, 10659, 14382, 21430, 28164]",37887,1
88,109996,"[19519, 3748, 33772, 22436, 38789, 46337]",23980,1
89,45187,"[30789, 37586, 42354, 26171, 15017, 28654, 44960]",41552,1
90,16501,[52662],53627,0
91,137314,"[12258, 15133, 15681, 5066, 6420, 13421, 6577, 29202, 38939]",7818,0
92,1658,"[610, 1258, 2332, 7508, 10814, 10797, 11710]",11495,1
93,155415,"[12584, 2707, 1664, 25878, 25949]",25286,1
94,145893,"[32423, 24223]",2323,0
95,108235,[11959],15349,1
96,88898,"[44448, 58138, 41930, 57603, 59009, 61316, 61559, 599]",54434,0
97,113499,"[43441, 12617, 47970, 52144]",29211,1
98,172467,"[25327, 40258]",40261,1
99,170603,[4637],59864,0
100,165051,"[2407, 15643]",59065,0
101,168407,"[2746, 14929]",24225,0
102,53172,"[9950, 29957, 16826, 30241, 35841]",12620,0
103,181342,"[370, 470, 18795, 18527, 19196, 30992, 29307, 26869, 8778, 26280, 3635, 35120, 14762, 7781, 5673, 35411, 2702, 34807, 39299, 26238, 43924, 41215, 34223, 42405, 29572, 30558, 51583, 15073, 16017, 21723, 17759, 46638, 54188, 49718, 47602, 30703, 39547, 4845, 26124, 42091, 43319, 45917, 39976, 30599, 40443, 54570, 28203, 55439, 43676, 46458, 41069, 32935, 25729, 55444, 41355, 43268, 9939, 53774, 50615, 59459, 40879, 59289, 60697, 45395, 24238, 19195]",61727,0
104,20966,"[5775, 12430, 14758, 21232, 26439, 44240, 47643]",47741,0
105,187837,"[11741, 17461]",31298,0
106,76632,"[8959, 28507, 17774, 26282, 18201]",36317,1
107,153557,"[16874, 24045, 34691, 13983, 22631, 38303, 42106, 19595, 44866, 30573, 39246, 3649, 24955, 20439, 24547, 33413, 42107, 37929, 45233, 2849, 25797, 36558, 6882, 16324, 20979, 26784, 29815, 31724, 43676, 51947, 51991, 8888, 9929, 21553, 22443, 43583, 44911, 48405, 43712, 45694, 31720, 42643, 4751, 17350, 33673, 42017, 42334, 45630, 23293, 31967, 38302, 7754, 11154, 20438, 1312, 11084, 12386, 24925, 40672, 41898, 44936, 21453, 50865, 17961, 23910, 14004, 24999, 8675, 15943, 26003, 29090, 33692, 35803, 45939, 46901, 48851, 57081, 33687, 35439, 37978, 41560, 50325, 52944, 58697, 59864]",48280,0
108,132651,"[49807, 583]",29255,0
109,192005,"[37883, 37920, 50867, 40113, 24343]",32694,1
110,116070,"[13724, 11300, 15995, 16576, 31576]",30585,1
111,43063,"[13298, 11118, 20979, 34270, 55355, 48756, 48037, 76, 7754, 10212]",6696,0
112,18461,"[2287, 3769, 5463, 6139, 8305, 4545, 6940, 221, 3897, 8318, 7775, 9668, 10053, 5863, 6604, 9457, 11050, 8392, 42305, 6113, 9349, 11033, 4763, 8446, 10329, 5794, 6306, 10857, 11334, 9407, 11344, 8613, 9155, 15062, 4643, 18145, 18650, 18375, 17663, 8298, 12968, 21785, 20377, 13825, 25019, 37924, 40886, 22197, 37882]",26545,1
113,182959,"[18137, 23443, 24953]",12724,0
114,28886,"[39602, 48611]",30330,1
115,1779,"[15094, 22336, 23542, 35623, 35603, 53300, 20505]",21643,1
116,116835,"[4763, 19967, 41937, 23114]",6490,0
117,180492,[49734],47653,0
118,152760,"[2088, 8477]",61605,0
119,67483,"[760, 560, 1721, 702, 2991, 2407, 2948, 1991, 3227, 5279, 4640, 6051, 7039, 6845, 8393, 10761, 3894, 17746, 18201, 19986, 23027, 5856, 24062, 12844, 20980, 23847, 21986, 25725, 23961, 3745, 17755, 24685, 198, 21884, 6750, 9001, 9623, 26918, 18981, 21293, 25109, 22207, 25875, 25876, 29345, 28446, 28490, 23969, 13834, 31578, 10998, 31582, 23585, 30007, 23629, 25074, 27265, 33931, 30951, 11694, 31012, 32352, 27311, 14134, 31896, 16746, 33378, 20738, 28204, 33749, 19086, 34957, 38889, 32514, 37306, 34642, 36648, 34808, 26013, 36649, 36364, 37324, 35045, 37448, 35060, 36518, 33003, 35355, 39602, 28875]",26238,1
120,25642,[16380],43605,0
121,62556,"[26300, 30804, 36536, 29617, 59167]",21664,1
122,5594,"[5302, 5126, 3717, 4411, 12551, 24622, 19482, 24827, 21182, 21373, 18381, 25818, 29275]",41116,1
123,19256,"[16041, 18081, 24622, 26502, 29544, 33071, 44856, 15856, 20738, 18030, 26632]",2332,1
124,80056,"[38755, 44387, 52945, 55165, 21907]",46186,1
125,125508,"[5721, 18806, 9155, 42328, 40491, 31488, 40019, 47919, 33492, 57204, 42838, 43320, 47866, 54571, 59861]",13190,0
126,145035,"[11604, 13246, 14041, 26925, 29002, 32483]",36618,0
127,168319,"[14275, 36713, 40872]",41236,1
128,126310,"[23712, 17480, 25750, 37682, 1303, 4019, 32127]",36361,1
129,113039,"[57012, 58012, 58663, 14545, 50587]",31485,0
130,180373,"[17194, 57341]",55267,0
131,5834,"[25140, 38086, 54526, 45, 7446, 9837]",11090,1
132,160874,"[10958, 5775, 12144, 7613, 4221, 17511, 15903, 10797, 7845, 16977, 15082, 9050, 10802, 12934, 10843, 13716, 6306, 5947, 13051, 11733, 14857, 16829, 16819, 11770, 14851, 4763, 15889, 17649, 3850, 4416, 14894, 16824, 11486, 10381, 16325, 19127, 21654, 16776, 14242, 16947, 16831, 15786, 17749, 19986, 20091, 15175, 15703, 15707, 15866, 12254, 20566, 16823, 6737, 8839, 17695, 21025, 19939, 14355, 20653, 16033, 15601, 19762, 651, 13419, 17502, 17505, 17658, 21439, 14762, 1544, 9623, 3425, 14213, 14211, 21788, 4052, 17892, 3821, 10622, 8735, 10719, 42305, 1315, 21845, 11157, 21469, 23357, 23651, 20922, 22887, 2784, 22908, 24780, 23302, 24845, 22044, 20978, 20979, 20313, 20676, 24145, 20651, 20977, 14731, 25054, 23062, 23063, 9022, 10847, 7556, 8930, 23148, 9596, 22770, 24322, 25606, 12322, 18219, 8088, 19693, 18340, 21638, 16220, 22115, 26280, 22777, 6521, 19073, 24309, 16922, 17760, 20821, 25109, 23036, 17163, 22882, 22884, 22285, 25349, 29278, 22207, 9506, 26573, 29757, 28168, 26912, 25401, 15688, 29000, 9731, 31706, 23853, 17548, 30352, 23774, 15685, 32224, 31576, 31578, 33472, 10138, 20701, 30606, 12768, 29244, 9526, 29247, 32991, 29376, 10322, 32227, 26007, 34956, 34967, 25962, 4721, 32228, 28443, 1330, 229, 34691, 16677, 35736, 19169, 26251, 32623, 29245, 36649, 26150, 34439, 23542, 30775, 37656, 38473, 37310, 39192, 23159, 21254, 38303, 31169, 26076, 13186, 36306, 40257, 33782, 26171, 36402, 39838, 40489, 41568, 36403, 41586, 34975, 38425, 41898, 39506, 38910, 38108, 1156, 37108, 37205, 32283, 30662, 38111, 42260, 40614, 43289, 43627, 38385, 40087, 39405, 42830, 44886, 42882, 33491, 39298, 43595, 14505, 43711, 45485, 44231, 42811, 37887, 42604, 42610, 42611, 42832, 47236, 40099, 38302, 47038, 46286, 30463, 43817, 47393, 45665, 29702, 35543, 44277, 46664, 49313, 42109, 52727, 48144, 49184, 59438, 41899, 46665, 51026, 49685, 44370, 47643, 47225, 21643, 41913, 42022, 50587, 41719, 41720, 50846, 47500, 45343, 46782, 31297, 48191, 49832, 52227, 42535, 52501, 47258, 52226, 43630, 53566, 54781, 50597, 52230, 54096, 41816, 55259, 52001, 18358, 52095, 34966, 42472, 51939, 51937, 34963, 34965, 48013, 49125, 51618, 51230, 42470, 50277, 52362]",53145,0
133,12723,"[3181, 31407, 49908]",50982,1
134,95221,"[10157, 4408, 7329, 12964, 18365, 1714, 4799, 15659, 46001, 4862]",49795,1
135,191900,"[7683, 26185, 37873, 39070, 46942, 42407, 27071, 9323, 31668, 60504, 14688]",24518,1
136,90658,"[10400, 11792, 31692, 18906, 36207, 48943, 44471, 16776, 36831]",46665,1
137,26313,"[25796, 42643, 1207, 22299, 54188, 14995]",61549,1
138,105275,"[10991, 14972, 10382, 14805, 24403, 25614, 30037, 31210, 35340, 36790, 36547, 42325, 14764, 33335, 48390, 25019, 37920, 43902, 33124, 41373, 47260]",30458,0
139,66412,[7910],22393,0
140,81759,"[12586, 18042, 18432, 25656, 3562, 4957, 15311, 19217, 24465, 10307, 33285, 39535, 37463, 37464, 50488]",38576,1
141,134300,"[14027, 16620, 19253, 24322, 29164, 24024, 25796, 31442, 35067, 31020, 52089]",51633,1
142,141054,"[32855, 30573]",48447,1
143,87975,"[16000, 15145, 11655, 15043, 21622, 47214, 38252]",50628,1
144,11641,"[14678, 20701, 40797]",1579,0
145,89072,"[7302, 9090, 12968]",19781,1
146,78742,"[18291, 9679, 32934, 39807]",52574,1
147,79316,"[40797, 511, 596, 2591, 10322, 12524, 15171, 21645, 33324, 3685]",21834,0
148,61713,"[24282, 31675, 36514, 38946, 41076, 40542, 43183, 18835, 43342, 48143, 52821, 53741, 55488, 52820, 55677, 55906, 57130, 57912, 55053, 59206]",41438,0
149,5572,"[25610, 22301, 31426, 42018, 6452, 43928, 48686, 54020, 8431, 36412, 11157, 18414, 20783, 21445, 22172, 22674, 23778, 23873, 26455, 27695, 31051, 33467, 33673, 37640, 40133, 40792, 19079, 27532, 41407, 51133, 53079, 53700, 26833, 38946]",46187,1
150,110597,"[27271, 2014, 32706, 2885, 14667]",17450,1
151,189547,"[40362, 15812, 19338, 39431]",57385,0
152,103425,"[9092, 7781, 3080, 4097, 15888, 545, 3992, 2959, 13051, 135, 9161, 21635, 9022, 7937, 23682, 22950, 22951, 22953, 24033, 21557, 22952, 23418, 11973, 21083, 21700, 12105, 371, 7059, 25125, 24183, 19147, 2014, 2885, 9740, 2601, 14756, 15394, 2880, 13594, 19209, 26742, 26285, 22439, 2914, 15619, 26637, 26728, 219]",37761,1
153,140491,"[3794, 10940, 14853, 15196, 23257, 20975, 39266, 16834, 29702, 39050, 38098, 2898, 4020, 34073, 37641, 37324, 36609, 27543, 29878, 34927, 40925, 41748, 43931, 11766, 22502, 25926, 40496, 47283, 29457, 32417, 539, 44944, 33987, 4768, 48677, 41786, 48679, 19146, 25116, 7471, 51446, 21974, 32965, 56625, 8663, 22924, 45618, 15422, 46513, 52606, 43453, 54245, 40665, 56566, 41349, 41133, 7497, 60328, 48882, 19384, 38224, 55869, 9532]",61309,1
154,165650,"[7262, 2276, 21152, 26570, 37461, 18893, 31588, 15184, 4990, 18518, 5496, 16974, 14275, 35807, 36347, 2329, 3098, 38790, 27510, 16631, 30941, 39119, 22389, 31776, 5594, 38283, 53309, 27169, 46681, 45254, 23193, 8779, 15826, 15995, 26238, 27132, 34354, 36239, 11946, 14941, 24320, 25965, 43226, 48540, 62284]",49156,1
155,152763,"[15196, 21186, 21584, 10936, 18622, 30417, 22000]",40095,1
156,70150,"[12586, 28001, 7069, 15287, 27179]",27757,1
157,61224,"[34694, 8794, 38957]",46081,1
158,62871,"[5357, 59604, 1858, 17712, 45637, 56591, 57523, 24299, 60647]",34373,0
159,191854,[12203],22405,0
160,34288,"[3926, 51126, 6636, 17888, 50933, 58630, 60125]",54970,0
161,165532,"[6573, 7939, 10768]",60950,0
162,21737,"[8090, 36402, 54691]",48264,0
163,159999,"[45787, 59438, 49963]",5925,0
164,99387,"[20982, 13980, 30505, 38302, 34693, 42136, 42635, 37147, 43510, 44143, 26432, 38536, 44790, 44899, 41984, 11288, 21184, 49831, 44805, 50297, 50778, 49832, 17089, 50398, 12960, 34278, 47258, 52545, 48724, 43586, 52439, 49917, 46858, 47367, 51228, 52362, 34965, 55244, 48503, 50311, 54720, 53978, 54288, 30629, 57310, 45305, 50938, 58562, 58893, 12617, 58808, 23877, 57708]",59462,1
165,191706,"[18456, 20434]",8198,0
166,132377,"[8831, 12600, 29421, 40019, 10805]",46840,1
167,105916,"[7354, 44118, 18414, 11756]",28690,0
168,68776,[6863],23569,0
169,125074,"[7404, 25129]",18150,1
170,109684,"[19111, 30164, 41277, 41748, 42355]",48808,1
171,79552,"[8395, 11638, 23789, 33935, 19193, 27254, 37184, 28997]",42395,1
172,103588,"[13270, 15421, 21073, 20363, 28350]",8321,0
173,182536,"[35437, 42109]",58722,0
174,130177,"[11384, 21586, 19021]",16585,1
175,181184,"[114, 57, 288, 313, 177, 339, 205, 334, 744, 948, 1106, 1075, 1208, 1251, 1916, 2260, 2140, 4446, 5158, 251, 13062, 4951, 13191, 704, 13329, 14616, 359, 471, 14592, 14730, 10032, 10858, 13641, 16318, 7864, 12781, 14348, 18200, 17748, 13030, 2476, 21461, 18936, 23652, 24603, 20980, 23791, 27419, 26750, 24550, 28092, 30239, 32076, 28005, 32482, 25494, 12762, 29248, 33381, 37656, 36275, 32766, 38362, 40257, 28773, 42099, 42538, 37970, 6589, 40691, 43484, 46984, 46986, 41455, 38302, 47251, 16082, 49831, 33665, 48725, 37525, 42893, 15970, 40917, 20091, 32434, 49754, 49631, 2319, 50914, 47529, 56883, 57204, 54720, 57343, 57548, 50938, 58498, 56453, 57378]",874,0
176,119965,"[759, 771, 1130, 2326, 1622, 920, 1719, 2904, 3488, 1194, 1230, 5155, 2937, 5147, 5125, 3186, 3189, 8234, 8446, 11804, 7421, 11771, 11610, 13818, 18709, 6031, 19947, 22108, 24294, 25345, 20591, 4976, 24677, 9413, 14147, 22439, 24773, 12482, 24978, 22817, 11702, 28868, 25401, 26671, 29343, 24289, 4588, 24871, 32964, 21626, 34956, 18212, 17258, 34350, 31423, 36649, 19086, 37657, 27125, 32557, 25650, 26858, 10581, 10739, 15808, 38398, 32553, 33124, 40277, 18234, 21740, 21553, 32928, 29000, 36135, 5127, 5128, 29247, 36545, 37234, 38777, 42832, 26872, 45399, 31119, 44056, 32434, 37109, 44259, 48189, 45711, 20574, 29323, 29324, 42515, 160, 30696, 40545, 49754, 8266, 17817, 16716, 13176, 31366, 25727, 47258, 28750, 9626, 34964, 34919, 40307, 28247, 27556, 52841, 39333, 5478, 23805, 51750, 42334, 51473, 40065, 52840, 55025, 34963, 34965, 39246, 35677]",27241,0
177,175186,"[25131, 30573]",3748,1
178,176598,[2860],17418,1
179,114869,"[18065, 18239, 15316, 9820, 3198, 15103, 13612, 5699, 33062, 15091, 25449, 13099, 4938, 20203, 24301, 16227]",37371,1
180,98859,"[24219, 24390]",19097,0
181,18840,"[28251, 10119, 33069, 9932]",25701,0
182,67059,"[6452, 9139, 10282]",13541,1
183,160734,"[144, 1076]",49497,0
184,131114,"[396, 909, 3315, 2713, 2493, 3028, 2103, 5188, 5677, 3558, 8042, 8216, 8059, 6521, 8205, 8424, 8428, 8309, 9409, 10871, 11443, 16915, 16164, 12586, 16585, 31987, 15104, 32991, 39334, 42017]",43889,1
185,133344,[17709],21935,1
186,78640,"[58856, 10517]",33237,1
187,10101,"[32037, 20293]",42986,1
188,130926,"[18613, 51026, 3523]",24963,0
189,54747,"[1472, 44376, 57825]",32017,1
190,150494,[21319],21324,1
191,183672,"[12365, 41407, 46042]",31940,1
192,150807,"[32553, 48809, 29206, 22914]",58832,1
193,102928,"[38070, 39511, 40327, 39578, 39931, 41595, 29216, 34270, 25871, 53095, 14630, 19696, 30164, 31246, 34767]",48984,0
194,162212,[36002],44055,1
195,37250,"[14948, 43572]",48611,1
196,72667,"[29247, 46070]",35405,0
197,151382,"[21303, 24617]",56694,0
198,62591,[3307],49283,0
199,165510,"[4609, 26153, 26195]",26787,1
200,118891,[13746],40578,0
201,156613,"[2969, 5109, 8042, 10092, 27333, 35671, 13670, 3712, 17877, 10410, 48389, 29206, 55434, 39851, 45723, 25019, 55456, 23877, 16095, 34070, 51464]",5783,1
202,59089,"[7349, 5077, 6875, 17116, 28522]",25401,1
203,30823,"[17630, 22602, 35257, 39505, 49939, 54979, 45331, 49156, 54781, 28435, 52893, 18906, 25965, 46557, 23160, 43193, 19632, 36653, 42109, 50547, 54807, 16967]",45984,0
204,20912,[2131],17733,0
205,129161,"[3198, 2171, 36837]",47762,1
206,98285,"[16103, 40492, 17398, 32008, 35955, 16776, 23991, 25354, 27062, 42551]",26368,0
207,170508,"[6103, 15094, 26171, 27048, 43099, 47980, 1289, 9948]",60786,0
208,1040,[22917],4128,0
209,119204,[6480],10153,0
210,128556,"[15935, 15097, 5834]",44689,0
211,188556,"[10971, 17888, 10886, 12593, 7765, 6183, 14889, 14769, 18291, 15991, 18649, 50835, 3703, 12844, 17268, 18388, 7155, 11050, 12549, 17826, 20374, 12418, 15171, 20343]",44162,0
212,182682,"[50706, 58514, 629, 2, 54060, 59202, 52159, 42700, 6183, 23379, 49156, 16377, 42888, 19146, 19276, 23154, 24671, 28494, 38101, 46044, 48430, 50621, 54846, 55234, 58770, 27693, 41662, 16843, 25322, 58265, 21510, 42965, 24235, 24656, 26455, 37643, 44569, 53039, 54513, 12361, 19926, 47494, 50565, 58782, 57083, 52448, 46186, 49224, 6348, 43800, 45349, 44687, 30330, 14437, 35603, 59864]",51355,0
213,52953,[33011],57655,0
214,142949,"[1505, 22299, 41431, 33688]",39365,0
215,103380,"[6822, 38043, 22807]",29245,1
216,98960,"[11061, 8675, 33113, 1340, 22301, 35502, 25449, 39191]",31112,0
217,185402,"[7546, 10811, 16913]",43206,1
218,135660,"[25104, 23585, 2802]",41113,0
219,96983,"[14216, 2014, 21127, 23935, 25871, 36780]",36327,0
220,54269,"[4890, 19032, 22976, 27025, 27499]",37563,1
221,181725,"[39433, 3163]",50461,1
222,48336,"[22159, 21494, 20346, 2035, 13240, 17888]",19795,1
223,178284,"[37277, 45343, 46828, 49734]",2120,0
224,81332,"[16832, 1302, 28689, 44524, 52765]",37559,1
225,130217,"[3886, 23064, 26693, 26945, 29699, 45971]",22357,0
226,145428,[5005],6540,1
227,60617,"[43950, 18960, 33124, 56113, 32017]",51372,1
228,4594,"[9379, 15374, 23917, 23918, 40152, 23058]",35115,0
229,187297,"[30536, 27008, 17376]",48642,0
230,116582,"[7524, 23719, 3466]",3972,1
231,10454,"[2201, 1977, 7382, 6335, 6379, 1714, 3149, 7411, 10335, 12864, 13062, 12781, 12863, 13387, 13382, 13385, 13386, 11863, 12377, 13527, 13530, 13533, 13661, 8309, 9963, 9982, 10977, 11666, 11985, 12042, 12128, 12306, 12619, 12621, 12620, 13486, 14156, 8381, 13059, 13680, 13846, 13848, 14885, 13174, 14592, 14972, 14985, 13885, 12249, 7864, 8728, 7862, 14730, 15082, 14623, 14001, 14588, 11742, 11070, 13190, 13470, 15119, 14948, 5611, 12929, 10322, 15411, 14649, 15241, 14815, 15196, 16308, 13670, 14671, 9022, 10305, 15265, 15830, 12586, 6196, 1906, 3799, 13617, 14980, 10739, 15868, 11895, 13883, 18293, 15391, 11020, 16270, 17750, 18743, 17748, 18835, 14947, 13754, 18972, 16456, 16869, 17488, 14291, 18383, 19057, 7954, 10653, 5077, 15486, 14082, 18748, 18808, 15595, 4322, 17116, 9984, 19294, 14427, 20343, 19380, 21971, 19252, 19872, 18388, 21973, 24219, 24343, 23419, 10841, 16851, 24661, 14053, 25839, 26503, 6760, 25109, 28347, 29421, 26664, 28169, 25401, 28440, 28168, 24614, 32352, 33072, 26618, 33988, 33438, 34943, 34956, 33478, 34840, 10212, 34959, 25529, 30492, 37310, 36364, 36068, 38365, 40258, 37165, 34963, 13079, 39462, 21158, 39351, 4169, 36850, 43353, 13611, 43834, 33316, 44231, 45144, 37483, 21108, 47252, 43831, 34071, 44779, 39313, 49553, 27310, 43269, 48560, 52227, 51226, 47258, 43630, 38120, 53566, 53187, 55890, 52225, 34965, 48013, 52365, 52362, 52364, 53978, 49125, 44658, 42470, 52229, 53492]",61014,0
232,60741,"[43559, 49908, 51202, 34933, 47946, 43281, 55786]",38654,0
233,191935,"[35603, 38105, 33011, 22409, 30662, 4771, 19468, 23774, 28456, 35505, 23011, 27879, 25019, 6765, 6951, 29440, 30969, 1252, 16776, 25327, 7123, 41931, 1024, 20979, 22159, 28797, 35150, 37887, 29247, 33027, 43632, 236, 11463, 6311, 8675, 12386, 14092, 17388, 20736, 27498, 28448, 11789, 25156, 19926, 14072, 13632, 31569, 24506, 30352, 12254, 12782, 41947, 48518, 48198, 14398, 9523, 29244, 26872, 30576, 19631, 42964, 71, 20978, 38114, 52136, 49618, 29245, 43279, 56089, 56959, 56662, 57749, 56438, 55362, 18818, 57678, 57858, 58455, 58353, 38437, 59295, 1517]",55171,0
234,128296,"[13588, 15796, 30530]",30573,1
235,127000,"[18164, 6411, 43098]",54215,0
